hdbscan_filled_cluster,GO_hit,gene_symbols,annotated_label
134,inward rectifier potassium channel activity,CNGA1 CNGA3 CNGA4 CNGB3 HCN4 KCNJ1 KCNJ10 KCNJ11 KCNJ12 KCNJ13 KCNJ14 KCNJ15 KCNJ16 KCNJ18 KCNJ2 KCNJ3 KCNJ4 KCNJ5 KCNJ8 KCNJ9,
386,junctional membrane complex,CCNF CLNK CSPG5 DBN1 DCAF5 ERCC6L2 FAM102B GGA2 HCLS1 JPH1 JPH2 JPH3 KDM7A MAPK8IP1 MAPK8IP2 PODXL2 SAMSN1 SHB TRIM66 TTLL4 TUT7 USH1G,
15,keratin filament,KRTAP10-1 KRTAP10-10 KRTAP10-11 KRTAP10-12 KRTAP10-2 KRTAP10-3 KRTAP10-4 KRTAP10-5 KRTAP10-6 KRTAP10-7 KRTAP10-8 KRTAP10-9,
18,keratin filament,KRTAP4-1 KRTAP4-11 KRTAP4-12 KRTAP4-2 KRTAP4-3 KRTAP4-4 KRTAP4-5 KRTAP4-6 KRTAP4-7 KRTAP4-8 KRTAP4-9 KRTAP9-1 KRTAP9-2 KRTAP9-3 KRTAP9-4 KRTAP9-6 KRTAP9-7 KRTAP9-8 KRTAP9-9,
19,keratin filament,KRTAP1-1 KRTAP1-3 KRTAP1-4 KRTAP1-5 KRTAP11-1 KRTAP12-1 KRTAP12-2 KRTAP12-3 KRTAP12-4 KRTAP13-1 KRTAP13-2 KRTAP13-3 KRTAP13-4 KRTAP15-1 KRTAP16-1 KRTAP2-1 KRTAP2-2 KRTAP2-3 KRTAP2-4 KRTAP24-1 KRTAP26-1 KRTAP29-1 KRTAP3-1 KRTAP3-2 KRTAP3-3 ODF1,
8,keratinization,CRCT1 LCE1A LCE1B LCE1C LCE1D LCE1E LCE1F LCE2A LCE2B LCE2C LCE2D LCE3A LCE3B LCE3C LCE3D LCE3E LCE4A LCE5A LCE6A LELP1 PRR9 SMCP SPRR1A SPRR1B SPRR2A SPRR2B SPRR2D SPRR2E SPRR2F SPRR2G SPRR3 SPRR4 SPRR5,
254,kinesin complex,AK9 AZI2 CARD10 CARD11 CARD14 CCDC149 CCDC6 CCDC92 CDC42BPG CIP2A CRACR2A DIXDC1 DLG5 KIF17 KIF19 KIF1C KIF3B KIF3C KIFC3 LRRFIP2 LRRIQ1 LUZP2 MCC MTCL1 NDE1 PHLDB2 RPGRIP1L SFI1 SHTN1 SOGA3 SPAG17 SPECC1 SPEF2 SSX2IP TMCC3,
403,kinesin complex,BACH1 BRDT C12orf40 C19orf44 DTX1 DTX2 DTX4 E2F7 E2F8 ESCO1 FAN1 FOXM1 INSYN2A KIAA1958 KIF11 KIF14 KIF18A KIF20A KIF23 KNL1 MICALL1 MICALL2 MTDH MYBL2 N4BP1 PHF20L1 RAB11FIP5 RBBP8 SGO2 SLX4 SNIP1 TAF3 TICRR ZNF839,
183,ligand-gated sodium channel activity,ASIC1 ASIC2 ASIC3 ASIC4 ASIC5 ATP1B1 ATP1B2 ATP1B3 ATP4B ERGIC2 KCNMB3 KCNMB4 P2RX1 P2RX2 P2RX3 P2RX4 P2RX5 P2RX6 P2RX7 PACC1 SCNN1A SCNN1B SCNN1D SCNN1G TMEM106A TMEM106C VWA7,
434,lipid transfer activity,CHAC2 COPZ2 CTDNEP1 CTDSP1 DUSP26 GGACT GGCT HEBP1 IDI1 IDI2 METTL1 NME6 NOA1 NTMT1 NUDT16 NUDT16L1 NUDT3 NUDT4 OARD1 PRELID1 PRELID2 PRELID3A RFK RNASEH1 RPP25L STARD4 STARD5 STARD6 TEN1,
48,lipopolysaccharide binding,BPI BPIFA1 BPIFA2 BPIFA3 BPIFB1 BPIFB2 BPIFB3 BPIFB4 BPIFB6 BPIFC CETP LBP PLTP,
169,lipoprotein metabolic process,APOL1 APOL2 APOL3 APOL4 APOL6 AUP1 ERN2 LPCAT4 PGAP1 SARAF UNC5CL,
291,lysophosphatidic acid acyltransferase activity,ABHD16B ABHD4 ABHD5 ABHD6 ADPGK AGPAT3 AGPAT4 ALG14 EPHX4 GDE1 GDPD1 GDPD3 GPAT3 GPAT4 LCLAT1 LDAH LPGAT1 MPPE1 OLAH PDXDC1 PIGX PRXL2A SELENOO SPG21 TMEM53 TMEM68,
212,lysosomal lumen,AADAC AADACL2 ABHD14A ACE ACHE ACP2 ACP4 ACP5 ACP7 ADA2 AGA ALPG ALPI ALPL ALPP AOAH AOC1 AOC2 AOC3 ARSA ARSB ARSG ARSI ARSJ ARSK ASAH1 ASAH2 B4GALNT2 BCHE BST1 BTD CA11 CA12 CA14 CA6 CA9 CD302 CDCP2 CHIT1 CNDP1 CP CPD CPED1 CPM CPQ CPVL CREG1 CTBS CTSA CYB5D2 DBH DCT DNASE1L3 DNASE2 DPEP1 DPEP2 DPEP3 DPP7 DSE DSEL ECE1 ECE2 ECEL1 EDEM2 EEF1AKMT4-ECE2 ENPEP ENPP1 ENPP2 ENPP3 ENPP4 ENPP5 ENPP6 ENPP7 ENTPD2 ENTPD3 ENTPD4 ENTPD5 ENTPD6 ENTPD7 ENTPD8 EPX FAM151A FOLH1 FOXRED2 FUCA1 FUCA2 GAA GALC GALNS GANAB GBA GBA3 GGH GGT1 GGT5 GGTLC1 GGTLC2 GGTLC3 GLB1 GLB1L GLB1L2 GLCE GLMP GM2A GNPTAB GNS GUSB HEXA HEXB HPSE IDUA IFI30 KEL KL KLB LCAT LCT LCTL LGALS3BP LGMN LIPA LIPF LIPJ LIPK LIPM LIPN LPO MAN2A1 MAN2A2 MAN2B1 MAN2B2 MANBA MANEA MME MMEL1 MPEG1 MPO NAAA NAALAD2 NAALADL1 NAALADL2 NAGA NCEH1 NCLN NCSTN NDST4 NEU1 NOTUM NPC2 NT5E OGFOD3 PCYOX1 PCYOX1L PGLYRP2 PIGS PLA2G15 PLB1 PLBD1 PLBD2 PLD3 PLD4 PM20D1 PPIC PPT1 PPT2 PRCP PTGS1 PTGS2 QPCT QPCTL QSOX1 RNASET2 SCPEP1 SDF2 SDF2L1 SELENON SGSH SIAE SLC3A1 SMPD1 SMPDL3A SMPDL3B SPAG4 SUMF1 SUMF2 SUN5 TFR2 TMEM219 TOR3A TPO TPP1 TREH TTC17 TYR TYRP1 VNN1 VNN2,
129,mannosyltransferase activity,ALG9 CASD1 CLPTM1 CLPTM1L DPY19L1 DPY19L2 DPY19L3 DPY19L4 ERMP1 FRRS1 GGCX GPR107 GPR108 HGSNAT HVCN1 KCNK18 KCNK6 LMF1 LMF2 PIGB PIGG PIGN PIGO PIGQ POMT1 POMT2 SEC61A1 SIDT1 SIDT2 SLC30A6 SLC44A1 SPPL2A SPPL2B STRA6 STT3A STT3B TM9SF1 TM9SF2 TM9SF3 TM9SF4 TMEM145 TMEM181 TMEM245 TMEM259 TMEM260 TMEM87A TMEM87B TMTC1 TMTC2 TMTC3 TMTC4 XPR1 ZDHHC13,
132,mechanosensitive monoatomic ion channel activity,ANO1 ANO10 ANO2 ANO3 ANO4 ANO5 ANO6 ANO7 ANO9 ATP6V0A1 ATP6V0A2 ATP6V0A4 CNGB1 MCOLN1 PKD2L1 RHBDF2 SLC44A2 SLC44A3 SLC44A4 SLC44A5 SPPL2C TCIRG1 TM7SF3 TMC1 TMC2 TMC3 TMC4 TMC5 TMC6 TMC7 TMC8 TMEM63A TMEM63B TMEM63C TPCN2 TRPC1 TRPC3 TRPC6 TRPM6 WLS,
352,meiotic cohesin complex,CCDC87 CDC25B CDCA3 CDCA5 CDKN2AIP EAF2 HAUS8 HDGFL2 HIRIP3 IWS1 KLHDC7A KLHDC7B LEO1 NCAPH2 NCOA4 PCLAF POLD3 POLDIP3 PPP1R15B PRDM11 PTTG1 RAD21 RAD21L1 REC8 RNF169 SFR1 SOWAHA SOWAHB SOWAHC TCOF1 TMPO TRAF3IP1,
211,metallocarboxypeptidase activity,AMY1A AMY1B AMY1C AMY2A AMY2B BACE2 CEL CPA1 CPA2 CPA3 CPA4 CPA5 CPA6 CPB1 CPB2 CPE CPN1 CPO CPXM1 CPXM2 CPZ HTRA2 LIPC LIPG LIPH LIPI LPL LTF MELTF MOXD1 PLA1A PLA2G12A PNLIP PNLIPRP1 PNLIPRP2 PNLIPRP3 SPINK5 TRABD2A TRABD2B VWA1,
198,metalloendopeptidase inhibitor activity,ADAMTSL5 CCBE1 CLEC18A CLEC18B CLEC18C CRISPLD2 DKK3 DLK2 EGFL7 EGFL8 EVA1C FBLN7 FSTL1 GFRA4 IGFBPL1 NOTCH2NLB NTN5 RECK RSPO4 SBSPON SPOCK1 SPOCK2 SPOCK3 THBD TINAGL1 TNFRSF6B VWC2L WFIKKN1 WIF1,
404,metaphase chromosome alignment,AHRR ALPK3 ARHGAP11A ATAD5 AUNIP BAZ1B BORA BUB1 BUB1B C16orf96 CBX8 CDCA2 CDCA8 CENPT CKAP2 CKAP2L DBF4 DEPDC1 DLGAP5 DUSP10 DUSP8 ELOA ESCO2 FBXO34 FIGNL1 GTSE1 HJURP HMGXB4 HSF1 KIF18B KIF22 KIF2C KIFC1 KNSTRN MLLT1 MYBL1 NAB2 NCAPH NKD2 NUSAP1 PHF20 PHF23 PROCA1 PSRC1 PWWP2A QRICH2 RAD51AP1 RFWD3 S100PBP SGO1 SKA3 SPATA22 SPOCD1 SPTY2D1 THAP5 TICAM1 TPX2 TRAIP TTK USP29 ZFAND4,
154,methyl-CpG binding,AMTN ARMH4 CCER2 CHGA MBD3L1 MBD3L2 MBD3L2B MBD3L3 MBD3L4 MBD3L5 ODAM ODAPH PHGR1 PRR27 PSORS1C2 STPG3 TGOLN2,
136,microfilament motor activity,KIF1B MYO10 MYO1A MYO1B MYO1C MYO1D MYO1E MYO1F MYO1G MYO1H MYO3A MYO3B MYO5A MYO5B MYO5C MYO6,
246,mitochondrial intermembrane space,CHCHD1 CHCHD5 CHCHD7 CMC1 CMC2 COA4 COA5 COA6 COX17 COX19 COX6B2 FAM136A NDUFA8 NDUFAF8 POP5 TIMM10 TIMM9,
287,mitochondrial ribosome,ATP5IF1 AURKAIP1 BOLA3 DNAJC19 FAM162B GADD45GIP1 MRPL1 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL24 MRPL27 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL36 MRPL4 MRPL40 MRPL41 MRPL45 MRPL47 MRPL48 MRPL50 MRPL51 MRPL52 MRPL54 MRPL55 MRPL57 MRPL58 MRPL9 MRPS10 MRPS11 MRPS12 MRPS14 MRPS15 MRPS16 MRPS17 MRPS18A MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS25 MRPS26 MRPS33 MRPS35 MRPS36 MRPS6 MRPS7 MRPS9 NDUFA12 NDUFA2 NDUFA5 NDUFA6 NDUFA7 NDUFAF2 NDUFAF4 NDUFB9 NDUFS4 NDUFV3 OXA1L PAM16 SDHAF2 SLIRP SSBP1,
39,mitochondrial transmembrane transport,MTCH1 MTCH2 SFXN1 SFXN2 SFXN3 SFXN4 SFXN5 SLC25A1 SLC25A10 SLC25A11 SLC25A12 SLC25A13 SLC25A15 SLC25A16 SLC25A17 SLC25A18 SLC25A19 SLC25A2 SLC25A20 SLC25A21 SLC25A22 SLC25A23 SLC25A24 SLC25A25 SLC25A26 SLC25A27 SLC25A28 SLC25A29 SLC25A3 SLC25A30 SLC25A31 SLC25A32 SLC25A33 SLC25A34 SLC25A35 SLC25A36 SLC25A37 SLC25A38 SLC25A39 SLC25A4 SLC25A40 SLC25A41 SLC25A42 SLC25A44 SLC25A45 SLC25A46 SLC25A47 SLC25A48 SLC25A51 SLC25A52 TMEM135 UCP1 UCP2 UCP3,
399,modification of postsynaptic actin cytoskeleton,ABI3 APBB1IP APC APC2 ARHGAP32 C2CD6 CAP1 CAP2 CCDC7 CEP170B EPS8 LMTK2 LMTK3 LRRC36 MAP1S NEK4 PRC1 RAB44 RSPH6A SCAPER SHANK1 WNK4 ZBBX,
379,muscle alpha-actinin binding,AIRE AJUBA BRD7 C2CD4C DMTN DNTTIP2 DSN1 EAF1 GMNN ING3 ITGB3BP LDB3 LPXN MED19 MEPCE MIER2 MIER3 MPHOSPH8 PDLIM1 PDLIM2 PDLIM3 PDLIM4 PDLIM5 PDLIM7 PHF13 PHLDA1 PXN RSBN1 SAMD14 SIRT1 SKA1 SMTNL2 TCF19 TGFB1I1 TP53 TRIP6 TTF1 ZBTB10 ZC2HC1A ZYX,
222,myeloid cell activation involved in immune response,C1orf162 CD19 CD247 CLEC17A FCER1G GAPT GCSAM GCSAML HAVCR1 HCST LAT LAT2 LAX1 LRRC25 LST1 MCEMP1 MILR1 PAG1 RHEX SCIMP SIT1 TIMD4 TRAT1 TYROBP,
87,myosin filament,MYH1 MYH10 MYH11 MYH13 MYH14 MYH15 MYH2 MYH3 MYH4 MYH6 MYH7 MYH7B MYH8 MYH9 MYO18A MYO18B TPM1 TPM2 TPM3 TPM4,
376,negative regulation of Ras protein signal transduction,ABTB2 AGTPBP1 ALS2 ALS2CL BAIAP3 BCAS3 BTBD11 CFAP69 CLHC1 DENND5A DGKA DGKG DGKZ ELMO3 HDAC10 HDAC7 HECTD2 IQCB1 JAK1 JAK2 KIF12 LRCH4 NEDD4 PALD1 PARP8 PHTF1 PIK3CA PIK3CD PITPNM1 PLCG1 PLCG2 PTPRA PTPRE PTPRN RAPGEF3 RAPGEF4 RASA1 RASA2 RASA3 RASA4 RASA4B RASAL1 RHPN1 RIMS3 SCRIB SH3BP4 SMURF1 TBC1D12 TBC1D14 TBC1D22A TBC1D2B TECPR1 UNC13D WWP1 ZSWIM5,
298,negative regulation of amyloid-beta formation,ARID4A ARID4B CCSER1 CRYBG3 FAM117B GGA3 GLCCI1 KANSL1 KIAA1671 LRIF1 MAP2 MAP3K19 PHF14 PPARGC1A PPP1R3A RAD51AP2 RSF1 RTN3 RTN4 SETX SH3RF3 SLAIN1 SMARCC1 SREBF2 TEX15 USP36 ZCCHC7 ZFYVE16,
228,negative regulation of delayed rectifier potassium channel activity,C10orf105 C11orf87 C14orf132 C1orf210 CALY CRB3 CTXN1 CTXN2 CTXN3 CTXND1 CTXND2 DNAJC5 DNAJC5B DNAJC5G ENHO EVA1A EVA1B FAM174A FAM174B FAM174C FXYD2 FXYD7 G0S2 GYPC IFITM1 IFITM2 IFITM3 KCNE1 KCNE2 KCNE3 KCNE4 KIAA0040 LSMEM2 MRAP MRAP2 MRLN MTLN NCMAP NRG4 NRSN1 NRSN2 NSG1 NSG2 PDZK1IP1 PIANP PIGY PIK3IP1 PIRT PLAC8 PLN RELL1 RNF122 RNF24 RPRM RPRML SERTM1 SHISAL1 SHISAL2A SHISAL2B SLC51B SLN SMAGP SMIM1 SMIM13 SMIM14 SMIM18 SMIM19 SMIM22 SMIM24 SMIM27 SMIM29 SMIM3 SMIM30 SMIM31 SMIM32 SMIM33 SMIM35 SMIM36 SMIM38 SMIM39 SMIM40 SMIM41 SMIM5 SMIM6 SNN SPAAR STRIT1 TCTA TEX29 TGFA TMEM100 TMEM154 TMEM230 TMEM233 TMEM273 TMEM275 TMEM74 TMEM74B TMEM91 TMEM9B TNFRSF13C TOMM5,
267,negative regulation of mRNA metabolic process,CIRBP FUS GAR1 HNRNPA0 HNRNPA1 HNRNPA1L2 HNRNPA2B1 HNRNPA3 HNRNPAB HNRNPH3 POGZ RALY SRSF9 TAF15 ZMYM2 ZNF451 ZNF644,
374,negative regulation of small GTPase mediated signal transduction,ADD1 AFAP1L1 AFAP1L2 APBA2 ARAP2 ARHGAP22 ARHGAP24 ARHGAP45 ARHGAP5 ARHGEF10 ARHGEF17 BCAR3 BCR BIN2 DNM1 EPB41L4A FER FGD4 GMIP GPSM1 IQSEC3 KCTD19 MCF2L MCF2L2 NOSTRIN OXR1 PLEKHG5 PSD2 RALGPS1 RAPGEF1 RASGRF1 RGL1 RGS3 RIN2 RIN3 RIPOR3 RPH3A RUNDC3A RUNDC3B SH3BP5L SPIRE1 TBC1D4 TTLL7,
181,neuron recognition,ADGRA2 ADGRA3 ALCAM CADM1 CADM2 CHL1 CNTN1 CNTN2 CNTN3 CNTN4 CNTN5 CNTN6 CPAMD8 DCC DSCAM DSCAML1 KIRREL3 LSAMP MDGA2 NCAM1 NCAM2 NEO1 NFASC NRCAM NRXN1 NRXN2 NRXN3 NTM OPCML PKD1L1 PTPRD PTPRF PTPRQ PTPRS ROBO1 ROBO2 SDK1 SDK2 TENM2 TENM3 TMEM132A,
107,neuropeptide activity,ADCYAP1 ADM2 AGRP BGLAP C11orf94 C17orf67 C2orf66 C4orf48 CALCA CALCB CARTPT CCK CORT CRH ECRG4 GAL GALP GAST GCG GHRH GHRL GIP GNRH1 GNRH2 GRP HAMP HCRT IAPP INS INS-IGF2 INSL3 INSL4 INSL5 INSL6 KISS1 MGP MLN NMB NMS NMU NPB NPFF NPPA NPPB NPPC NPS NPVF NPW NPY NTS OSTN OTOS PDYN PENK PMCH PNOC PPY PRLH PTH PTH2 PYY QRFP RLN1 RLN2 RLN3 SCG2 SCG3 SCG5 SCT SPAG11A SPAG11B SPX SRGN SST TAC1 TAC3 TAC4 TRH TTR UCMA UCN UCN2 UCN3 UTS2 UTS2B VGF VIP,
68,non-membrane spanning protein tyrosine kinase activity,BLK CSK FES FGR FYN HCK ITK JAK3 LCK LYN MATK PTK6 SRC SRMS SYK TEC TXK TYK2 YES1 ZAP70,
73,nuclear receptor activity,CHN1 CHN2 ESR1 ESR2 ESRRA ESRRB ESRRG HNF4A HNF4G NR1D1 NR1D2 NR1H2 NR1H3 NR1H4 NR1I2 NR1I3 NR2C1 NR2E1 NR2E3 NR2F1 NR2F2 NR5A1 NR5A2 NR6A1 PPARA PPARD PPARG RARA RARB RARG RORA RORB RORC RXRA RXRG THRA THRB VDR,
310,nucleocytoplasmic carrier activity,AGL AP2A1 C1orf112 CAND1 CAND2 CSE1L DDX60 FANCA FANCC IPO11 IPO13 IPO5 IPO7 IPO8 IPO9 KIAA0825 KPNB1 MED24 MEI1 MMS22L MROH8 MROH9 NCAPG2 NWD2 PIK3R4 RANBP17 TBC1D32 TEX10 TNPO1 TNPO2 TNPO3 URB2 XPO1 XPO4 XPO5 XPO6 XPO7 XPOT,
422,nucleolar exosome (RNase complex),CYB5A CYB5B EIF2B2 EXOSC1 EXOSC2 EXOSC3 EXOSC4 EXOSC5 EXOSC7 FIS1 HEBP2 LRRC75A NATD1 PFN4 PLAAT2 POLR3H PRELID3B PTGES3L SEC11C SSU72 TRMT10C,
161,nucleotide-sugar transmembrane transport,CEPT1 CHPT1 MFSD13A MFSD5 NIPA1 NIPAL2 NIPAL3 OTOP1 OTOP2 SLC10A5 SLC10A7 SLC31A1 SLC33A1 SLC35A1 SLC35A4 SLC35A5 SLC35B2 SLC35B3 SLC35B4 SLC35C1 SLC35C2 SLC35D1 SLC35D2 SLC35D3 SLC35E1 SLC35E2B SLC35E4 SLC35F6 TMEM175 TMEM241 TMEM41B UBIAD1 XKR9,
71,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",CYP11A1 CYP11B1 CYP11B2 CYP17A1 CYP19A1 CYP1A1 CYP1A2 CYP1B1 CYP20A1 CYP21A2 CYP24A1 CYP26A1 CYP26B1 CYP26C1 CYP27A1 CYP27B1 CYP27C1 CYP2A13 CYP2A6 CYP2A7 CYP2B6 CYP2C18 CYP2C19 CYP2C8 CYP2C9 CYP2D6 CYP2D7 CYP2E1 CYP2F1 CYP2J2 CYP2R1 CYP2S1 CYP2U1 CYP2W1 CYP39A1 CYP3A4 CYP3A43 CYP3A5 CYP3A7 CYP46A1 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F12 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP4V2 CYP4X1 CYP4Z1 CYP51A1 CYP7A1 CYP7B1 CYP8B1 PTGIS TBXAS1,
296,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen",ABHD13 ABHD15 AMPD1 AMPD2 AMPD3 ARMC10 CERKL DGKE DPP9 ENDOD1 ERLIN1 ERLIN2 FAR1 FAR2 FLOT1 FLOT2 GBA2 GNPAT GPAM GYS1 GYS2 HSPH1 HYOU1 LMLN LSS MEMO1 MIPEP MTHFR MVP NPHS2 OPLAH PDK2 PDK4 PGBD5 PGGHG PITRM1 PLA2G4A PLCZ1 PRNP SAMHD1 SPATA20 STOM STOML3 TH TPH1 TPH2,
146,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",CH25H CYB561 CYB561A3 CYB561D1 CYBRD1 DEGS1 DEGS2 DRAM1 DRAM2 FA2H FADS1 FADS2 FADS3 FADS6 FAXDC2 MSMO1 PGAP2 SC5D SCD SCD5 TEDDM1 TMEM150C TMEM45A TMEM45B TMEM86A,
270,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",ABHD16A ABHD3 AGPAT5 ALOX12 ALOX12B ALOX15 ALOX15B ALOX5 ALOXE3 ASAH2B BCO1 BCO2 CA8 CRAT CWH43 FAM187A GANC GBE1 GCLC GDPD4 LACTB LPCAT2 MOCOS NLN NPEPPS PLA2G4B PLA2G4C PLA2G4D PLA2G4E PLA2G4F RNPEP RNPEPL1 RPE65 STOML1 TCAF1 THOP1 TMEM168 TMPPE TMX2,
41,oxygen carrier activity,HBA1 HBA2 HBB HBD HBE1 HBG1 HBG2 HBM HBQ1 HBZ MB,
45,pattern recognition receptor activity,ASGR1 ASGR2 CD207 CD209 CD69 CD72 CLEC10A CLEC12A CLEC12B CLEC1A CLEC1B CLEC2A CLEC2B CLEC2D CLEC4A CLEC4C CLEC4D CLEC4E CLEC4F CLEC4G CLEC4M CLEC5A CLEC6A CLEC7A CLEC9A FCER2 KLRB1 KLRC1 KLRC2 KLRC3 KLRC4 KLRF1 KLRF2 KLRG1 KLRK1 OLR1 SELL,
1,peptide antigen binding,TRAV1-1 TRAV1-2 TRAV10 TRAV12-1 TRAV12-2 TRAV12-3 TRAV13-1 TRAV13-2 TRAV14DV4 TRAV16 TRAV17 TRAV18 TRAV19 TRAV2 TRAV20 TRAV21 TRAV22 TRAV23DV6 TRAV24 TRAV25 TRAV26-1 TRAV26-2 TRAV27 TRAV29DV5 TRAV3 TRAV30 TRAV34 TRAV36DV7 TRAV38-1 TRAV38-2DV8 TRAV39 TRAV4 TRAV40 TRAV41 TRAV5 TRAV6 TRAV7 TRAV8-1 TRAV8-2 TRAV8-3 TRAV8-4 TRAV8-6 TRAV9-1 TRAV9-2 TRBV16 TRBV17 TRBV5-3 TRBV5-7 TRBV7-1 TRBV7-4 TRDV1 TRDV2 TRDV3 TRGV1 TRGV10 TRGV11 TRGV2 TRGV3 TRGV4 TRGV5 TRGV8 TRGV9,
117,peptide hormone binding,ABCG8 ADCYAP1R1 CALCR CALCRL CRHR1 CRHR2 GCGR GHRHR GIPR GLP1R GLP2R NPC1 PTH1R PTH2R SCTR SLC24A2 SLC8A2 SLC8A3 SLC9C2 VIPR1 VIPR2,
202,peptide hormone processing,ABI3BP AMN CD248 CDHR5 EFNB3 FURIN GPC1 GPC5 GPC6 HHIPL1 HJV HTRA3 MEP1A NAGPA NCAN PCOLCE PCSK1 PCSK2 PCSK4 PCSK7 PDGFRL RGMA RGMB TSPEAR VIT VSTM2A VSTM2B,
218,peptidoglycan binding,ACRBP AHSG C17orf58 CLEC19A CLU CLUL1 CRHBP CRISP1 CRISP2 CRISP3 CRISPLD1 CTSV CTSW DPT DRAXIN ECM1 FGA FIBCD1 GLG1 GLIPR1 GLIPR1L1 GLIPR1L2 GLIPR2 HAPLN1 HAPLN2 HAPLN3 HRG IL17D ITLN1 ITLN2 KNG1 LECT2 LOX LYG1 LYG2 LYZ METRN METRNL MFAP4 OAF OC90 OLFML2A OLFML2B PDGFC PDGFD PGLYRP1 PGLYRP3 PGLYRP4 PI15 PLA2G12B PLA2G3 PRG2 PRG3 PRSS23 PSAP R3HDML RARRES1 REG1A REG1B REG3A REG3G REG4 SAA1 SAA2 SAA4 SELENOP SFRP2 SFRP5 SFTPB SPACA3 SPARC SPP2 TIMP2 TIMP3 TIMP4 TNFAIP6 VMO1 ZG16 ZG16B,
409,peptidyl-glutamic acid modification,AGBL2 AGBL5 DOK1 DOK2 DOK3 DZANK1 EEF2K ERCC6 GTF2IRD1 HELB HFM1 HLTF HMGXB3 HSH2D INPP5E L3MBTL1 LASP1 LDLRAP1 LIN9 MGRN1 PAPOLG PDZD8 RANBP10 RB1 RBL2 RNF216 RUBCN SH2B1 SH2D2A SH2D5 SH2D6 SH2D7 SNX33 SPIN1 TOM1 TTLL10 TTLL3 TTLL6 UBE2O ZRANB3,
152,phosphatidate phosphatase activity,AQP12A AQP12B CDS2 DUOXA1 DUOXA2 GPR137B GPR137C LMBRD2 NINJ2 PLPP1 PLPP2 PLPP3 PLPP4 PLPP5 PLPPR1 PSEN1 PSEN2 PXMP4 REEP4 REEP6 RNF139 TMEM80 TVP23A TVP23B ZMPSTE24,
306,phosphatidylinositol dephosphorylation,AIPL1 ANKMY2 ASCC2 BZW1 CATIP EIF4G2 FIG4 GUCY1A1 GUCY1B1 INPP5B MTMR12 MTMR9 NOP9 NUP88 PATL2 RSPH10B RSPH10B2 SACM1L THEMIS2 TMEM268 TONSL,
418,"phosphatidylinositol-3,4-bisphosphate binding",ADAP2 AGAP9 ARHGAP1 CBLC DAPP1 DAXX DEPTOR FLCN GRAP HLCS IPCEF1 ITGB1BP1 LNX1 MAPKAP1 NCF4 NCK1 NCK2 OSBPL11 PLCL1 PLCL2 PLEK PLEK2 PTPN7 RASSF2 RASSF3 USP4,
260,phospholipid scramblase activity,ADIG AJAP1 APELA APOC4 ARRDC1 BRI3 C16orf54 C16orf74 C17orf78 C1orf185 C2orf74 CST9 EBLN2 FAM209A FAM240A FAM240B FTCDNL1 IL32 LENEP LITAF LSMEM1 MYMX NOP10 PLEKHB1 PLEKHB2 PLSCR1 PLSCR2 PLSCR3 PLSCR4 PLSCR5 PRCD PRRT1 PRRT1B SPTY2D1OS TEX46 TEX50 TMCO2 TMEM119 TMEM200C TNP1,
247,phosphoserine residue binding,C22orf39 CHCHD4 SFN TIMM10B TIMM13 TIMM8B TRIAP1 YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ,
159,"phosphotransferase activity, for other substituted phosphate groups",AQP11 DPAGT1 EBPL HACD1 HACD2 HACD4 HM13 IFITM5 INSIG1 INSIG2 JKAMP LMBR1L MBOAT2 MGST1 MPV17L PIGF PIGM PLPP7 PTDSS1 PTDSS2 PTGES RCE1 SAMD8 SELENOI SERINC4 SGMS1 SGMS2 SGPP2 SLC31A2 SLC66A2 SLC66A3 SPPL3 SRD5A1 SRD5A3 TECRL TM6SF2 TMEM120A TMEM234 TMEM267 TMEM38A TMEM38B TMEM79 TP53I11 TRAM1L1 VKORC1L1,
388,pi-body,ANKRD34A ANKRD34B ANKRD34C ANKRD63 BARD1 BRD8 CDC25A CDC25C CENPU CYTIP ERI2 FBXO5 GEN1 HAUS6 ITPKB OBI1 PHF12 PHF2 RMI1 RNF214 RSBN1L SCHIP1 SLX4IP ST18,
402,piRNA processing,AIP BBS5 C9orf72 CGAS CNOT6L DHX29 EHD2 ELMOD3 FAM91A1 GLE1 INTS13 MOB4 MSH6 MTMR10 MTMR6 ODR4 PEX3 PIWIL1 PIWIL2 PIWIL3 PIWIL4 RAD54L SLFNL1 TBC1D23 TBC1D7 TDRD12 TDRD7 TTC9C,
